pnr_id,passenger_id,flight_id,seat_class,ancillary_fee_paid
PNR000081,P000081,FL06655,BUSINESS,53
PNR000082,P000082,FL07297,FIRST,104
PNR000083,P000083,FL05929,FIRST,105
PNR000084,P000084,FL00853,ECONOMY,44
PNR000085,P000085,FL08152,FIRST,72
PNR000086,P000086,FL01356,BUSINESS,22
PNR000087,P000087,FL09183,BUSINESS,145
PNR000088,P000088,FL07478,BUSINESS,78
PNR000089,P000089,FL07321,ECONOMY,69
PNR000090,P000090,FL02614,FIRST,62
PNR000091,P000091,FL09126,ECONOMY,34
PNR000092,P000092,FL05156,FIRST,65
PNR000093,P000093,FL09954,FIRST,4
PNR000094,P000094,FL04531,ECONOMY,5
PNR000095,P000095,FL09652,BUSINESS,54
PNR000096,P000096,FL05232,BUSINESS,29
PNR000097,P000097,FL06170,FIRST,74
PNR000098,P000098,FL02564,FIRST,36
PNR000099,P000099,FL03989,BUSINESS,123
PNR000100,P000100,FL08622,ECONOMY,57
PNR000101,P000101,FL06345,BUSINESS,84
PNR000102,P000102,FL06325,FIRST,79
PNR000103,P000103,FL07818,FIRST,78
PNR000104,P000104,FL02628,FIRST,144
PNR000105,P000105,FL06687,BUSINESS,105
PNR000106,P000106,FL03460,FIRST,50
PNR000107,P000107,FL02656,FIRST,139
PNR000108,P000108,FL04793,BUSINESS,8
PNR000109,P000109,FL06713,FIRST,125
PNR000110,P000110,FL06644,BUSINESS,50
PNR000111,P000111,FL09774,ECONOMY,111
PNR000112,P000112,FL04020,BUSINESS,124
PNR000113,P000113,FL06064,FIRST,56
PNR000114,P000114,FL06431,BUSINESS,15
PNR000115,P000115,FL00582,ECONOMY,107
PNR000116,P000116,FL09172,ECONOMY,47
PNR000117,P000117,FL00517,FIRST,60
PNR000118,P000118,FL08067,ECONOMY,45
PNR000119,P000119,FL05553,BUSINESS,86
PNR000120,P000120,FL07701,ECONOMY,63
PNR000121,P000121,FL04971,FIRST,28
PNR000122,P000122,FL03041,ECONOMY,143
PNR000123,P000123,FL05467,ECONOMY,3
PNR000124,P000124,FL07534,FIRST,96
PNR000125,P000125,FL03224,ECONOMY,55
PNR000126,P000126,FL08923,ECONOMY,139
PNR000127,P000127,FL02424,BUSINESS,33
PNR000128,P000128,FL02200,ECONOMY,110
PNR000129,P000129,FL09801,BUSINESS,113
PNR000130,P000130,FL08981,FIRST,13
PNR000131,P000131,FL02015,BUSINESS,25
PNR000132,P000132,FL08608,FIRST,41
PNR000133,P000133,FL09327,BUSINESS,64
PNR000134,P000134,FL07930,BUSINESS,60
PNR000135,P000135,FL02312,FIRST,68
PNR000136,P000136,FL07190,ECONOMY,132
PNR000137,P000137,FL04047,FIRST,119
PNR000138,P000138,FL06775,BUSINESS,7
PNR000139,P000139,FL04739,ECONOMY,129
PNR000140,P000140,FL01193,BUSINESS,31
PNR000141,P000141,FL06651,ECONOMY,50
PNR000142,P000142,FL03846,ECONOMY,94
PNR000143,P000143,FL00796,BUSINESS,3
PNR000144,P000144,FL06567,FIRST,1
PNR000145,P000145,FL01638,FIRST,46
PNR000146,P000146,FL07124,ECONOMY,38
PNR000147,P000147,FL03100,FIRST,30
PNR000148,P000148,FL01244,BUSINESS,104
PNR000149,P000149,FL01955,FIRST,120
PNR000150,P000150,FL04543,FIRST,50
PNR000151,P000151,FL04715,FIRST,29
PNR000152,P000152,FL05726,FIRST,6
PNR000153,P000153,FL05716,BUSINESS,100
PNR000154,P000154,FL07765,BUSINESS,29
PNR000155,P000155,FL05988,FIRST,78
PNR000156,P000156,FL09973,FIRST,146
PNR000157,P000157,FL01023,FIRST,132
PNR000158,P000158,FL02839,BUSINESS,124
PNR000159,P000159,FL06263,BUSINESS,15
PNR000160,P000160,FL01119,ECONOMY,136
PNR000161,P000161,FL05545,BUSINESS,85
PNR000162,P000162,FL00599,FIRST,133
PNR000163,P000163,FL05904,ECONOMY,130
PNR000164,P000164,FL02081,BUSINESS,55
PNR000165,P000165,FL07599,FIRST,120
PNR000166,P000166,FL05338,FIRST,129
PNR000167,P000167,FL08531,BUSINESS,46
PNR000168,P000168,FL01177,BUSINESS,0
PNR000169,P000169,FL06758,ECONOMY,136
PNR000170,P000170,FL07243,FIRST,101
PNR000171,P000171,FL00823,BUSINESS,9
PNR000172,P000172,FL05204,FIRST,52
PNR000173,P000173,FL02799,BUSINESS,56
PNR000174,P000174,FL00025,FIRST,137
PNR000175,P000175,FL06719,BUSINESS,74
PNR000176,P000176,FL06012,FIRST,104
PNR000177,P000177,FL04981,FIRST,13
PNR000178,P000178,FL04257,ECONOMY,81
PNR000179,P000179,FL01861,BUSINESS,4
PNR000180,P000180,FL03304,ECONOMY,71
PNR000181,P000181,FL02953,FIRST,27
PNR000182,P000182,FL00370,BUSINESS,127
PNR000183,P000183,FL01547,FIRST,94
PNR000184,P000184,FL05078,BUSINESS,27
PNR000185,P000185,FL01555,ECONOMY,55
PNR000186,P000186,FL01771,ECONOMY,149
PNR000187,P000187,FL03801,FIRST,133
PNR000188,P000188,FL04805,BUSINESS,113
PNR000189,P000189,FL03134,FIRST,125
PNR000190,P000190,FL03952,BUSINESS,139
PNR000191,P000191,FL02149,FIRST,117
PNR000192,P000192,FL05525,BUSINESS,111
PNR000193,P000193,FL02366,FIRST,72
PNR000194,P000194,FL07310,ECONOMY,84
PNR000195,P000195,FL03720,ECONOMY,33
PNR000196,P000196,FL00170,BUSINESS,84
PNR000197,P000197,FL05744,ECONOMY,123
PNR000198,P000198,FL09533,BUSINESS,86
PNR000199,P000199,FL08760,FIRST,130
PNR000200,P000200,FL06708,ECONOMY,41
PNR000201,P000201,FL02085,FIRST,70
PNR000202,P000202,FL00183,ECONOMY,125
PNR000203,P000203,FL09948,BUSINESS,45
PNR000204,P000204,FL04399,FIRST,142
PNR000205,P000205,FL09117,FIRST,133
PNR000206,P000206,FL01577,BUSINESS,106
PNR000207,P000207,FL02612,BUSINESS,100
PNR000208,P000208,FL09929,ECONOMY,118
PNR000209,P000209,FL01420,FIRST,144
PNR000210,P000210,FL02112,FIRST,106
PNR000211,P000211,FL05038,ECONOMY,43
PNR000212,P000212,FL06508,FIRST,103
PNR000213,P000213,FL07962,ECONOMY,81
PNR000214,P000214,FL00483,BUSINESS,124
PNR000215,P000215,FL07290,FIRST,121
PNR000216,P000216,FL09837,BUSINESS,114
PNR000217,P000217,FL02224,ECONOMY,15
PNR000218,P000218,FL03274,BUSINESS,72
PNR000219,P000219,FL06288,ECONOMY,47
PNR000220,P000220,FL05335,FIRST,14
PNR000221,P000221,FL02550,ECONOMY,14
PNR000222,P000222,FL06973,BUSINESS,117
PNR000223,P000223,FL04853,ECONOMY,22
PNR000224,P000224,FL02775,ECONOMY,64
PNR000225,P000225,FL03574,BUSINESS,81
PNR000226,P000226,FL02514,BUSINESS,62
PNR000227,P000227,FL08764,ECONOMY,141
PNR000228,P000228,FL04836,FIRST,75
PNR000229,P000229,FL06599,FIRST,149
PNR000230,P000230,FL05976,BUSINESS,80
PNR000231,P000231,FL09042,FIRST,85
PNR000232,P000232,FL06971,ECONOMY,141
PNR000233,P000233,FL09369,ECONOMY,141
PNR000234,P000234,FL07862,FIRST,27
PNR000235,P000235,FL00193,ECONOMY,46
PNR000236,P000236,FL08311,ECONOMY,15
PNR000237,P000237,FL07246,ECONOMY,74
PNR000238,P000238,FL05567,BUSINESS,117
PNR000239,P000239,FL06705,FIRST,40
PNR000240,P000240,FL02468,FIRST,148
PNR000241,P000241,FL00792,ECONOMY,51
PNR000242,P000242,FL02161,BUSINESS,21
PNR000243,P000243,FL03013,ECONOMY,50
PNR000244,P000244,FL02146,BUSINESS,81
PNR000245,P000245,FL07360,FIRST,119
PNR000246,P000246,FL04678,ECONOMY,131
PNR000247,P000247,FL05837,ECONOMY,120
PNR000248,P000248,FL00139,ECONOMY,46
PNR000249,P000249,FL00605,ECONOMY,116
PNR000250,P000250,FL05308,ECONOMY,64
PNR000251,P000251,FL01721,BUSINESS,146
PNR000252,P000252,FL08414,BUSINESS,22
PNR000253,P000253,FL07167,ECONOMY,124
PNR000254,P000254,FL02342,ECONOMY,96
PNR000255,P000255,FL09751,ECONOMY,95
PNR000256,P000256,FL02138,ECONOMY,61
PNR000257,P000257,FL07414,BUSINESS,136
PNR000258,P000258,FL00792,BUSINESS,93
PNR000259,P000259,FL07023,ECONOMY,51
PNR000260,P000260,FL08957,BUSINESS,147
PNR000261,P000261,FL05524,BUSINESS,133
PNR000262,P000262,FL04732,ECONOMY,148
PNR000263,P000263,FL06184,BUSINESS,98
PNR000264,P000264,FL06502,ECONOMY,6
PNR000265,P000265,FL03043,BUSINESS,121
PNR000266,P000266,FL03701,FIRST,134
PNR000267,P000267,FL07414,FIRST,108
PNR000268,P000268,FL01669,ECONOMY,46
PNR000269,P000269,FL05799,BUSINESS,94
PNR000270,P000270,FL01330,FIRST,98
PNR000271,P000271,FL03984,FIRST,140
PNR000272,P000272,FL00160,FIRST,5
PNR000273,P000273,FL04569,BUSINESS,26
PNR000274,P000274,FL03648,FIRST,46
PNR000275,P000275,FL03121,ECONOMY,14
PNR000276,P000276,FL04252,ECONOMY,66
PNR000277,P000277,FL06472,ECONOMY,22
PNR000278,P000278,FL07312,BUSINESS,30
PNR000279,P000279,FL08550,BUSINESS,25
PNR000280,P000280,FL03370,ECONOMY,98
PNR000281,P000281,FL06340,BUSINESS,30
PNR000282,P000282,FL04260,BUSINESS,44
PNR000283,P000283,FL06648,ECONOMY,149
PNR000284,P000284,FL05862,ECONOMY,28
PNR000285,P000285,FL02478,FIRST,14
PNR000286,P000286,FL01683,BUSINESS,9
PNR000287,P000287,FL04694,BUSINESS,61
PNR000288,P000288,FL07019,BUSINESS,113
PNR000289,P000289,FL04403,BUSINESS,126
PNR000290,P000290,FL05462,BUSINESS,74
PNR000291,P000291,FL08636,ECONOMY,121
PNR000292,P000292,FL00759,BUSINESS,33
PNR000293,P000293,FL03643,FIRST,100
PNR000294,P000294,FL07434,ECONOMY,98
PNR000295,P000295,FL06514,FIRST,144
PNR000296,P000296,FL05643,FIRST,32
PNR000297,P000297,FL06627,FIRST,123
PNR000298,P000298,FL06959,FIRST,90
PNR000299,P000299,FL07694,BUSINESS,148
PNR000300,P000300,FL03238,ECONOMY,82
PNR000301,P000301,FL09542,ECONOMY,46
PNR000302,P000302,FL06020,BUSINESS,34
PNR000303,P000303,FL01655,ECONOMY,22
PNR000304,P000304,FL09065,BUSINESS,148
PNR000305,P000305,FL02594,BUSINESS,67
PNR000306,P000306,FL02841,BUSINESS,136
PNR000307,P000307,FL08169,FIRST,70
PNR000308,P000308,FL08485,FIRST,66
PNR000309,P000309,FL01335,ECONOMY,144
PNR000310,P000310,FL04515,FIRST,122
PNR000311,P000311,FL01587,BUSINESS,48
PNR000312,P000312,FL07917,FIRST,75
PNR000313,P000313,FL02491,ECONOMY,84
PNR000314,P000314,FL03399,ECONOMY,105
PNR000315,P000315,FL05243,BUSINESS,81
PNR000316,P000316,FL03157,ECONOMY,82
PNR000317,P000317,FL00542,BUSINESS,63
PNR000318,P000318,FL02508,ECONOMY,74
PNR000319,P000319,FL09884,FIRST,95
PNR000320,P000320,FL08021,FIRST,19
PNR000321,P000321,FL06154,FIRST,28
PNR000322,P000322,FL04078,FIRST,49
PNR000323,P000323,FL06862,FIRST,114
PNR000324,P000324,FL00345,BUSINESS,27
PNR000325,P000325,FL04237,FIRST,113
PNR000326,P000326,FL05869,FIRST,6
PNR000327,P000327,FL04933,ECONOMY,7
PNR000328,P000328,FL01577,FIRST,83
PNR000329,P000329,FL06064,ECONOMY,101
PNR000330,P000330,FL03582,FIRST,5
PNR000331,P000331,FL03374,BUSINESS,67
PNR000332,P000332,FL09874,FIRST,73
PNR000333,P000333,FL03034,BUSINESS,59
PNR000334,P000334,FL08270,BUSINESS,87
PNR000335,P000335,FL05740,FIRST,10
PNR000336,P000336,FL09141,ECONOMY,50
PNR000337,P000337,FL01471,ECONOMY,87
PNR000338,P000338,FL03935,BUSINESS,34
PNR000339,P000339,FL04051,ECONOMY,61
PNR000340,P000340,FL01526,FIRST,19
PNR000341,P000341,FL01168,ECONOMY,132
PNR000342,P000342,FL02330,FIRST,67
PNR000343,P000343,FL09970,FIRST,66
PNR000344,P000344,FL03649,FIRST,51
PNR000345,P000345,FL01660,ECONOMY,91
PNR000346,P000346,FL09919,BUSINESS,107
PNR000347,P000347,FL05617,BUSINESS,26
PNR000348,P000348,FL07215,ECONOMY,105
PNR000349,P000349,FL08436,ECONOMY,80
PNR000350,P000350,FL05765,BUSINESS,48
PNR000351,P000351,FL01453,ECONOMY,12
PNR000352,P000352,FL09576,FIRST,64
PNR000353,P000353,FL04166,FIRST,18
PNR000354,P000354,FL04621,FIRST,14
PNR000355,P000355,FL03234,FIRST,57
PNR000356,P000356,FL00659,FIRST,104
PNR000357,P000357,FL04973,BUSINESS,20
PNR000358,P000358,FL07020,FIRST,25
PNR000359,P000359,FL02804,FIRST,103
PNR000360,P000360,FL02786,FIRST,74
PNR000361,P000361,FL08093,ECONOMY,122
PNR000362,P000362,FL06207,ECONOMY,125
PNR000363,P000363,FL07950,BUSINESS,63
PNR000364,P000364,FL06085,ECONOMY,129
PNR000365,P000365,FL00585,BUSINESS,148
PNR000366,P000366,FL03564,BUSINESS,25
PNR000367,P000367,FL04653,BUSINESS,51
PNR000368,P000368,FL07966,ECONOMY,148
PNR000369,P000369,FL08770,ECONOMY,18
PNR000370,P000370,FL07663,BUSINESS,74
PNR000371,P000371,FL02208,ECONOMY,53
PNR000372,P000372,FL01625,ECONOMY,111
PNR000373,P000373,FL04251,BUSINESS,5
PNR000374,P000374,FL00842,ECONOMY,120
PNR000375,P000375,FL06885,ECONOMY,137
PNR000376,P000376,FL03615,ECONOMY,51
PNR000377,P000377,FL02255,BUSINESS,118
PNR000378,P000378,FL02947,ECONOMY,10
PNR000379,P000379,FL04438,FIRST,8
PNR000380,P000380,FL08344,FIRST,85
PNR000381,P000381,FL09133,BUSINESS,77
PNR000382,P000382,FL06372,BUSINESS,143
PNR000383,P000383,FL01356,ECONOMY,54
PNR000384,P000384,FL03406,FIRST,111
PNR000385,P000385,FL03706,ECONOMY,8
PNR000386,P000386,FL09269,ECONOMY,143
PNR000387,P000387,FL02531,FIRST,69
PNR000388,P000388,FL04202,ECONOMY,32
PNR000389,P000389,FL02659,BUSINESS,88
PNR000390,P000390,FL08654,ECONOMY,101
PNR000391,P000391,FL03761,ECONOMY,18
PNR000392,P000392,FL00172,ECONOMY,94
PNR000393,P000393,FL08833,BUSINESS,11
PNR000394,P000394,FL02054,ECONOMY,16
PNR000395,P000395,FL09595,ECONOMY,80
PNR000396,P000396,FL09811,BUSINESS,120
PNR000397,P000397,FL08470,FIRST,98
PNR000398,P000398,FL09894,ECONOMY,18
PNR000399,P000399,FL04461,FIRST,80
PNR000400,P000400,FL00362,FIRST,7
PNR000401,P000401,FL02463,ECONOMY,24
PNR000402,P000402,FL08892,FIRST,34
PNR000403,P000403,FL02399,ECONOMY,147
PNR000404,P000404,FL06668,FIRST,46
PNR000405,P000405,FL01306,FIRST,123
PNR000406,P000406,FL07469,FIRST,132
PNR000407,P000407,FL02796,BUSINESS,25
PNR000408,P000408,FL04476,FIRST,49
PNR000409,P000409,FL02385,BUSINESS,67
PNR000410,P000410,FL00571,FIRST,16
PNR000411,P000411,FL05420,BUSINESS,97
PNR000412,P000412,FL02927,FIRST,82
PNR000413,P000413,FL03232,FIRST,100
PNR000414,P000414,FL06539,BUSINESS,45
PNR000415,P000415,FL06069,ECONOMY,116
PNR000416,P000416,FL02246,ECONOMY,2
PNR000417,P000417,FL01872,ECONOMY,78
PNR000418,P000418,FL06953,ECONOMY,115
PNR000419,P000419,FL04211,FIRST,10
PNR000420,P000420,FL03668,ECONOMY,4
PNR000421,P000421,FL09916,ECONOMY,105
PNR000422,P000422,FL00399,ECONOMY,95
PNR000423,P000423,FL09909,BUSINESS,38
PNR000424,P000424,FL01301,FIRST,111
PNR000425,P000425,FL07905,BUSINESS,47
PNR000426,P000426,FL02989,FIRST,48
PNR000427,P000427,FL04140,FIRST,86
PNR000428,P000428,FL08765,BUSINESS,1
PNR000429,P000429,FL05146,BUSINESS,141
PNR000430,P000430,FL02204,FIRST,92
PNR000431,P000431,FL02042,ECONOMY,29
PNR000432,P000432,FL04498,BUSINESS,81
PNR000433,P000433,FL06478,BUSINESS,58
PNR000434,P000434,FL01072,ECONOMY,131
PNR000435,P000435,FL01475,FIRST,127
PNR000436,P000436,FL03616,ECONOMY,41
PNR000437,P000437,FL01480,ECONOMY,73
PNR000438,P000438,FL05928,BUSINESS,81
PNR000439,P000439,FL03160,FIRST,37
PNR000440,P000440,FL01529,BUSINESS,115
PNR000441,P000441,FL06845,FIRST,125
PNR000442,P000442,FL00684,FIRST,9
PNR000443,P000443,FL09561,ECONOMY,47
PNR000444,P000444,FL07054,ECONOMY,22
PNR000445,P000445,FL01225,BUSINESS,39
PNR000446,P000446,FL01431,BUSINESS,13
PNR000447,P000447,FL01941,FIRST,65
PNR000448,P000448,FL09890,ECONOMY,51
PNR000449,P000449,FL06128,BUSINESS,22
PNR000450,P000450,FL06382,ECONOMY,148
PNR000451,P000451,FL09776,FIRST,50
PNR000452,P000452,FL01809,FIRST,42
PNR000453,P000453,FL00404,BUSINESS,47
PNR000454,P000454,FL08476,FIRST,119
PNR000455,P000455,FL03893,BUSINESS,7
PNR000456,P000456,FL06361,ECONOMY,129
PNR000457,P000457,FL00089,FIRST,114
PNR000458,P000458,FL06861,BUSINESS,100
PNR000459,P000459,FL04969,ECONOMY,127
PNR000460,P000460,FL09008,FIRST,8
PNR000461,P000461,FL02040,ECONOMY,72
PNR000462,P000462,FL02057,ECONOMY,143
PNR000463,P000463,FL04199,BUSINESS,20
PNR000464,P000464,FL09803,ECONOMY,95
PNR000465,P000465,FL02659,BUSINESS,133
PNR000466,P000466,FL07545,FIRST,61
PNR000467,P000467,FL02175,FIRST,19
PNR000468,P000468,FL04008,FIRST,7
PNR000469,P000469,FL03477,FIRST,72
PNR000470,P000470,FL03920,ECONOMY,129
PNR000471,P000471,FL06982,BUSINESS,40
PNR000472,P000472,FL01719,ECONOMY,35
PNR000473,P000473,FL03199,FIRST,97
PNR000474,P000474,FL07087,BUSINESS,110
PNR000475,P000475,FL01141,BUSINESS,89
PNR000476,P000476,FL05280,FIRST,102
PNR000477,P000477,FL02445,FIRST,5
PNR000478,P000478,FL01254,ECONOMY,121
PNR000479,P000479,FL04163,BUSINESS,96
PNR000480,P000480,FL00698,BUSINESS,102
PNR000481,P000481,FL05636,ECONOMY,127
PNR000482,P000482,FL07454,ECONOMY,141
PNR000483,P000483,FL06962,BUSINESS,28
PNR000484,P000484,FL06048,ECONOMY,78
PNR000485,P000485,FL02682,FIRST,57
PNR000486,P000486,FL09089,BUSINESS,61
PNR000487,P000487,FL09388,BUSINESS,26
PNR000488,P000488,FL00744,FIRST,102
PNR000489,P000489,FL04640,ECONOMY,11
PNR000490,P000490,FL09614,FIRST,27
PNR000491,P000491,FL01661,BUSINESS,108
PNR000492,P000492,FL01451,BUSINESS,145
PNR000493,P000493,FL09745,FIRST,95
PNR000494,P000494,FL01640,BUSINESS,27
PNR000495,P000495,FL09074,ECONOMY,149
PNR000496,P000496,FL00728,ECONOMY,62
PNR000497,P000497,FL07512,BUSINESS,38
PNR000498,P000498,FL05743,BUSINESS,15
PNR000499,P000499,FL05234,FIRST,63
PNR000500,P000500,FL00150,FIRST,21
PNR000501,P000501,FL07787,BUSINESS,110
PNR000502,P000502,FL06223,BUSINESS,2
PNR000503,P000503,FL09689,ECONOMY,36
PNR000504,P000504,FL06292,BUSINESS,25
PNR000505,P000505,FL04322,ECONOMY,133
PNR000506,P000506,FL02030,BUSINESS,90
PNR000507,P000507,FL00734,FIRST,38
PNR000508,P000508,FL05010,ECONOMY,24
PNR000509,P000509,FL03482,FIRST,25
PNR000510,P000510,FL04142,FIRST,39
PNR000511,P000511,FL04253,ECONOMY,138
PNR000512,P000512,FL09506,BUSINESS,21
PNR000513,P000513,FL01199,BUSINESS,121
PNR000514,P000514,FL05034,FIRST,33
PNR000515,P000515,FL05926,BUSINESS,124
PNR000516,P000516,FL07197,ECONOMY,6
PNR000517,P000517,FL08828,ECONOMY,67
PNR000518,P000518,FL00109,ECONOMY,118
PNR000519,P000519,FL00130,FIRST,100
PNR000520,P000520,FL03002,BUSINESS,78
PNR000521,P000521,FL06690,FIRST,128
PNR000522,P000522,FL02984,ECONOMY,137
PNR000523,P000523,FL00726,BUSINESS,110
PNR000524,P000524,FL01820,FIRST,77
PNR000525,P000525,FL06072,BUSINESS,79
PNR000526,P000526,FL00057,ECONOMY,123
PNR000527,P000527,FL09273,BUSINESS,64
PNR000528,P000528,FL06137,ECONOMY,100
PNR000529,P000529,FL04311,FIRST,118
PNR000530,P000530,FL04618,ECONOMY,77
PNR000531,P000531,FL03643,ECONOMY,133
PNR000532,P000532,FL07547,ECONOMY,20
PNR000533,P000533,FL01646,ECONOMY,32
PNR000534,P000534,FL09611,BUSINESS,78
PNR000535,P000535,FL01193,FIRST,147
PNR000536,P000536,FL05495,FIRST,91
PNR000537,P000537,FL06684,FIRST,3
PNR000538,P000538,FL07022,FIRST,74
PNR000539,P000539,FL07867,ECONOMY,105
PNR000540,P000540,FL00845,FIRST,57
PNR000541,P000541,FL02019,BUSINESS,64
PNR000542,P000542,FL04621,BUSINESS,149
PNR000543,P000543,FL08344,ECONOMY,55
PNR000544,P000544,FL00698,FIRST,116
PNR000545,P000545,FL08722,BUSINESS,61
PNR000546,P000546,FL00383,FIRST,52
PNR000547,P000547,FL01822,BUSINESS,13
PNR000548,P000548,FL04483,BUSINESS,5
PNR000549,P000549,FL05293,ECONOMY,33
PNR000550,P000550,FL08739,ECONOMY,114
PNR000551,P000551,FL02611,FIRST,85
PNR000552,P000552,FL02335,ECONOMY,129
PNR000553,P000553,FL06441,BUSINESS,52
PNR000554,P000554,FL09518,FIRST,116
PNR000555,P000555,FL04041,FIRST,8
PNR000556,P000556,FL00829,ECONOMY,116
PNR000557,P000557,FL08347,FIRST,133
PNR000558,P000558,FL03764,ECONOMY,121
PNR000559,P000559,FL08875,BUSINESS,5
PNR000560,P000560,FL02455,FIRST,97
PNR000561,P000561,FL07030,ECONOMY,141
PNR000562,P000562,FL03086,BUSINESS,120
PNR000563,P000563,FL01868,BUSINESS,96
PNR000564,P000564,FL09540,BUSINESS,70
PNR000565,P000565,FL07417,BUSINESS,101
PNR000566,P000566,FL07043,FIRST,34
PNR000567,P000567,FL03000,FIRST,67
PNR000568,P000568,FL03256,ECONOMY,55
PNR000569,P000569,FL09028,ECONOMY,111
PNR000570,P000570,FL07592,BUSINESS,81
PNR000571,P000571,FL02642,BUSINESS,86
PNR000572,P000572,FL04381,ECONOMY,121
PNR000573,P000573,FL06843,ECONOMY,104
PNR000574,P000574,FL08328,ECONOMY,32
PNR000575,P000575,FL00012,ECONOMY,51
PNR000576,P000576,FL09186,ECONOMY,110
PNR000577,P000577,FL02539,FIRST,98
PNR000578,P000578,FL05109,BUSINESS,41
PNR000579,P000579,FL07362,ECONOMY,103
PNR000580,P000580,FL05787,BUSINESS,102
PNR000581,P000581,FL01919,BUSINESS,145
PNR000582,P000582,FL09544,ECONOMY,85
PNR000583,P000583,FL04497,ECONOMY,99
PNR000584,P000584,FL00779,BUSINESS,29
PNR000585,P000585,FL09114,BUSINESS,107
PNR000586,P000586,FL01587,BUSINESS,149
PNR000587,P000587,FL06139,ECONOMY,93
PNR000588,P000588,FL03570,BUSINESS,83
PNR000589,P000589,FL06707,FIRST,39
PNR000590,P000590,FL09186,FIRST,126
PNR000591,P000591,FL05974,BUSINESS,27
PNR000592,P000592,FL05802,FIRST,62
PNR000593,P000593,FL06103,ECONOMY,102
PNR000594,P000594,FL02656,FIRST,50
PNR000595,P000595,FL06361,BUSINESS,83
PNR000596,P000596,FL00392,ECONOMY,118
