flight_id,total_seats,available_seats
FL00280,142,142
FL00281,150,150
FL00282,213,213
FL00283,161,161
FL00284,218,218
FL00285,126,126
FL00286,135,135
FL00287,209,209
FL00288,179,179
FL00289,121,121
FL00290,120,120
FL00291,167,167
FL00292,131,131
FL00293,188,188
FL00294,156,156
FL00295,151,151
FL00296,128,128
FL00297,218,218
FL00298,138,138
FL00299,167,167
FL00300,199,199
FL00301,122,122
FL00302,139,139
FL00303,143,143
FL00304,173,173
FL00305,152,152
FL00306,143,143
FL00307,194,194
FL00308,191,191
FL00309,155,155
FL00310,157,157
FL00311,203,203
FL00312,218,218
FL00313,208,208
FL00314,218,218
FL00315,144,144
FL00316,212,212
FL00317,137,137
FL00318,201,201
FL00319,185,185
FL00320,173,173
FL00321,154,154
FL00322,199,199
FL00323,180,180
FL00324,160,160
FL00325,219,219
FL00326,152,152
FL00327,187,187
FL00328,152,152
FL00329,133,133
FL00330,140,140
FL00331,167,167
FL00332,139,139
FL00333,127,127
FL00334,126,126
FL00335,186,186
FL00336,136,136
FL00337,152,152
FL00338,167,167
FL00339,195,195
FL00340,178,178
FL00341,205,205
FL00342,141,141
FL00343,149,149
FL00344,157,157
FL00345,170,170
FL00346,173,173
FL00347,127,127
FL00348,146,146
FL00349,146,146
FL00350,217,217
FL00351,140,140
FL00352,149,149
FL00353,216,216
FL00354,147,147
FL00355,183,183
FL00356,216,216
FL00357,188,188
FL00358,180,180
FL00359,167,167
FL00360,138,138
FL00361,123,123
FL00362,154,154
FL00363,183,183
FL00364,168,168
FL00365,136,136
FL00366,163,163
FL00367,211,211
FL00368,149,149
FL00369,212,212
FL00370,165,165
FL00371,125,125
FL00372,218,218
FL00373,156,156
FL00374,143,143
FL00375,212,212
FL00376,165,165
FL00377,172,172
FL00378,214,214
FL00379,218,218
FL00380,179,179
FL00381,216,216
FL00382,182,182
FL00383,204,204
FL00384,151,151
FL00385,206,206
FL00386,152,152
FL00387,186,186
FL00388,137,137
FL00389,144,144
FL00390,214,214
FL00391,173,173
FL00392,177,177
FL00393,186,186
FL00394,165,165
FL00395,143,143
FL00396,151,151
FL00397,166,166
FL00398,205,205
FL00399,142,142
FL00400,185,185
FL00401,146,146
FL00402,121,121
FL00403,209,209
FL00404,136,136
FL00405,152,152
FL00406,128,128
FL00407,162,162
FL00408,167,167
FL00409,158,158
FL00410,212,212
FL00411,161,161
FL00412,145,145
FL00413,218,218
FL00414,169,169
FL00415,144,144
FL00416,143,143
FL00417,132,132
FL00418,179,179
FL00419,126,126
FL00420,176,176
FL00421,155,155
FL00422,164,164
FL00423,139,139
FL00424,184,184
FL00425,127,127
FL00426,135,135
FL00427,133,133
FL00428,195,195
FL00429,206,206
FL00430,134,134
FL00431,211,211
FL00432,217,217
FL00433,185,185
FL00434,151,151
FL00435,206,206
FL00436,182,182
FL00437,205,205
FL00438,170,170
FL00439,144,144
FL00440,177,177
FL00441,182,182
FL00442,181,181
FL00443,141,141
FL00444,177,177
FL00445,177,177
FL00446,205,205
FL00447,168,168
FL00448,171,171
FL00449,161,161
FL00450,189,189
FL00451,134,134
FL00452,173,173
FL00453,179,179
FL00454,216,216
FL00455,127,127
FL00456,172,172
FL00457,179,179
FL00458,124,124
FL00459,187,187
FL00460,125,125
FL00461,215,215
FL00462,213,213
FL00463,166,166
FL00464,218,218
FL00465,174,174
FL00466,159,159
FL00467,171,171
FL00468,135,135
FL00469,132,132
FL00470,149,149
FL00471,138,138
FL00472,136,136
FL00473,182,182
FL00474,138,138
FL00475,211,211
FL00476,177,177
FL00477,174,174
FL00478,209,209
FL00479,209,209
FL00480,181,181
FL00481,142,142
FL00482,128,128
FL00483,131,131
FL00484,120,120
FL00485,177,177
FL00486,120,120
FL00487,153,153
FL00488,215,215
FL00489,167,167
FL00490,208,208
FL00491,120,120
FL00492,135,135
FL00493,180,180
FL00494,183,183
FL00495,182,182
FL00496,188,188
FL00497,141,141
FL00498,212,212
FL00499,186,186
FL00500,195,195
FL00501,145,145
FL00502,135,135
FL00503,170,170
FL00504,205,205
FL00505,176,176
FL00506,148,148
FL00507,197,197
FL00508,211,211
FL00509,188,188
FL00510,166,166
FL00511,213,213
FL00512,181,181
FL00513,188,188
FL00514,195,195
FL00515,135,135
FL00516,209,209
FL00517,209,209
FL00518,167,167
FL00519,204,204
FL00520,158,158
FL00521,219,219
FL00522,152,152
FL00523,213,213
FL00524,142,142
FL00525,129,129
FL00526,188,188
FL00527,219,219
FL00528,153,153
FL00529,171,171
FL00530,214,214
FL00531,129,129
FL00532,138,138
FL00533,177,177
FL00534,215,215
FL00535,120,120
FL00536,188,188
FL00537,123,123
FL00538,135,135
FL00539,143,143
FL00540,199,199
FL00541,121,121
FL00542,211,211
FL00543,151,151
FL00544,210,210
FL00545,203,203
FL00546,143,143
FL00547,131,131
FL00548,169,169
FL00549,154,154
FL00550,152,152
FL00551,152,152
FL00552,180,180
FL00553,170,170
FL00554,162,162
FL00555,131,131
FL00556,186,186
FL00557,184,184
FL00558,152,152
FL00559,159,159
FL00560,193,193
FL00561,162,162
FL00562,163,163
FL00563,148,148
FL00564,132,132
FL00565,131,131
FL00566,214,214
FL00567,165,165
FL00568,121,121
FL00569,154,154
FL00570,206,206
FL00571,200,200
FL00572,209,209
FL00573,127,127
FL00574,212,212
FL00575,145,145
FL00576,193,193
FL00577,209,209
FL00578,153,153
FL00579,126,126
FL00580,187,187
FL00581,177,177
FL00582,194,194
FL00583,148,148
FL00584,155,155
FL00585,208,208
FL00586,140,140
FL00587,155,155
FL00588,129,129
FL00589,192,192
FL00590,143,143
FL00591,183,183
FL00592,218,218
FL00593,168,168
FL00594,218,218
FL00595,155,155
FL00596,201,201
FL00597,215,215
FL00598,143,143
FL00599,142,142
FL00600,181,181
FL00601,215,215
FL00602,156,156
FL00603,131,131
FL00604,174,174
FL00605,132,132
FL00606,142,142
FL00607,208,208
FL00608,218,218
FL00609,149,149
FL00610,136,136
FL00611,181,181
FL00612,203,203
FL00613,208,208
FL00614,205,205
FL00615,132,132
FL00616,178,178
FL00617,138,138
FL00618,168,168
FL00619,219,219
FL00620,131,131
FL00621,180,180
FL00622,138,138
FL00623,195,195
FL00624,128,128
FL00625,190,190
FL00626,147,147
FL00627,197,197
FL00628,214,214
FL00629,171,171
FL00630,202,202
FL00631,135,135
FL00632,188,188
FL00633,218,218
FL00634,131,131
FL00635,144,144
FL00636,171,171
FL00637,204,204
FL00638,219,219
FL00639,172,172
FL00640,142,142
FL00641,135,135
FL00642,176,176
FL00643,158,158
FL00644,172,172
FL00645,161,161
FL00646,177,177
FL00647,158,158
FL00648,133,133
FL00649,214,214
FL00650,124,124
FL00651,154,154
FL00652,206,206
FL00653,212,212
FL00654,194,194
FL00655,137,137
FL00656,195,195
FL00657,128,128
FL00658,193,193
FL00659,177,177
FL00660,136,136
FL00661,126,126
FL00662,165,165
FL00663,132,132
FL00664,159,159
FL00665,161,161
FL00666,128,128
FL00667,169,169
FL00668,146,146
FL00669,185,185
FL00670,124,124
FL00671,148,148
FL00672,156,156
FL00673,157,157
FL00674,202,202
FL00675,127,127
FL00676,184,184
FL00677,205,205
FL00678,136,136
FL00679,190,190
FL00680,208,208
FL00681,164,164
FL00682,123,123
FL00683,155,155
FL00684,189,189
FL00685,150,150
FL00686,138,138
FL00687,180,180
FL00688,173,173
FL00689,158,158
FL00690,210,210
FL00691,193,193
FL00692,209,209
FL00693,138,138
FL00694,158,158
FL00695,186,186
FL00696,164,164
FL00697,132,132
FL00698,211,211
FL00699,177,177
FL00700,139,139
FL00701,211,211
FL00702,191,191
FL00703,180,180
FL00704,158,158
FL00705,120,120
FL00706,122,122
FL00707,196,196
FL00708,211,211
FL00709,181,181
FL00710,182,182
FL00711,144,144
FL00712,175,175
FL00713,152,152
FL00714,157,157
FL00715,125,125
FL00716,177,177
FL00717,163,163
FL00718,164,164
FL00719,151,151
FL00720,164,164
FL00721,180,180
FL00722,166,166
FL00723,140,140
FL00724,199,199
FL00725,204,204
FL00726,194,194
FL00727,155,155
FL00728,218,218
FL00729,138,138
FL00730,139,139
FL00731,176,176
FL00732,137,137
FL00733,166,166
FL00734,168,168
FL00735,133,133
FL00736,134,134
FL00737,150,150
FL00738,120,120
FL00739,173,173
FL00740,122,122
FL00741,135,135
FL00742,206,206
FL00743,176,176
FL00744,194,194
FL00745,131,131
FL00746,193,193
FL00747,215,215
FL00748,135,135
FL00749,191,191
FL00750,195,195
FL00751,143,143
FL00752,147,147
FL00753,127,127
FL00754,211,211
FL00755,155,155
FL00756,209,209
FL00757,127,127
FL00758,177,177
FL00759,179,179
FL00760,169,169
FL00761,147,147
FL00762,211,211
FL00763,160,160
FL00764,219,219
FL00765,183,183
FL00766,146,146
FL00767,182,182
FL00768,136,136
FL00769,192,192
FL00770,152,152
FL00771,203,203
FL00772,196,196
FL00773,211,211
FL00774,148,148
FL00775,132,132
FL00776,165,165
FL00777,154,154
FL00778,125,125
FL00779,201,201
FL00780,188,188
FL00781,166,166
FL00782,144,144
FL00783,185,185
FL00784,129,129
FL00785,175,175
FL00786,149,149
FL00787,124,124
FL00788,152,152
FL00789,184,184
FL00790,137,137
FL00791,215,215
FL00792,168,168
FL00793,130,130
FL00794,204,204
FL00795,145,145
FL00796,182,182
FL00797,208,208
FL00798,205,205
FL00799,178,178
FL00800,146,146
FL00801,168,168
FL00802,196,196
FL00803,152,152
FL00804,217,217
FL00805,218,218
FL00806,120,120
FL00807,140,140
FL00808,174,174
FL00809,125,125
FL00810,211,211
FL00811,200,200
FL00812,188,188
FL00813,214,214
FL00814,124,124
FL00815,122,122
FL00816,172,172
FL00817,142,142
FL00818,172,172
FL00819,156,156
FL00820,193,193
FL00821,193,193
FL00822,202,202
FL00823,136,136
FL00824,204,204
FL00825,197,197
FL00826,192,192
FL00827,120,120
FL00828,170,170
FL00829,164,164
FL00830,196,196
FL00831,123,123
FL00832,181,181
FL00833,184,184
FL00834,151,151
FL00835,153,153
FL00836,211,211
FL00837,214,214
FL00838,191,191
FL00839,158,158
FL00840,145,145
FL00841,153,153
FL00842,173,173
FL00843,122,122
FL00844,169,169
FL00845,131,131
FL00846,184,184
FL00847,173,173
FL00848,124,124
FL00849,213,213
FL00850,213,213
FL00851,176,176
FL00852,136,136
FL00853,166,166
FL00854,142,142
FL00855,198,198
FL00856,204,204
FL00857,133,133
FL00858,185,185
FL00859,194,194
FL00860,170,170
FL00861,157,157
FL00862,183,183
FL00863,217,217
FL00864,157,157
FL00865,169,169
FL00866,217,217
FL00867,201,201
FL00868,149,149
FL00869,198,198
FL00870,210,210
FL00871,170,170
FL00872,182,182
FL00873,217,217
FL00874,171,171
FL00875,157,157
FL00876,216,216
FL00877,207,207
FL00878,198,198
FL00879,149,149
FL00880,170,170
FL00881,200,200
FL00882,124,124
FL00883,148,148
FL00884,123,123
FL00885,129,129
FL00886,175,175
FL00887,136,136
FL00888,193,193
FL00889,136,136
FL00890,203,203
FL00891,207,207
FL00892,188,188
FL00893,153,153
FL00894,125,125
FL00895,172,172
FL00896,185,185
FL00897,196,196
FL00898,162,162
FL00899,194,194
FL00900,142,142
FL00901,174,174
FL00902,199,199
FL00903,214,214
FL00904,194,194
FL00905,135,135
FL00906,127,127
FL00907,123,123
FL00908,123,123
FL00909,175,175
FL00910,144,144
FL00911,186,186
FL00912,215,215
FL00913,186,186
FL00914,146,146
FL00915,212,212
FL00916,151,151
FL00917,169,169
FL00918,180,180
FL00919,170,170
FL00920,138,138
FL00921,140,140
FL00922,124,124
FL00923,201,201
FL00924,211,211
FL00925,161,161
FL00926,180,180
FL00927,141,141
FL00928,140,140
FL00929,189,189
FL00930,120,120
FL00931,124,124
FL00932,131,131
FL00933,209,209
FL00934,165,165
FL00935,153,153
FL00936,168,168
FL00937,197,197
FL00938,209,209
FL00939,164,164
FL00940,146,146
FL00941,192,192
FL00942,145,145
FL00943,166,166
FL00944,205,205
FL00945,175,175
FL00946,213,213
FL00947,182,182
FL00948,167,167
FL00949,180,180
FL00950,200,200
FL00951,145,145
FL00952,155,155
FL00953,120,120
FL00954,127,127
FL00955,218,218
FL00956,171,171
FL00957,198,198
FL00958,166,166
FL00959,175,175
FL00960,205,205
FL00961,133,133
FL00962,209,209
FL00963,147,147
FL00964,206,206
FL00965,197,197
FL00966,207,207
FL00967,121,121
FL00968,145,145
FL00969,133,133
FL00970,178,178
FL00971,175,175
FL00972,126,126
FL00973,122,122
FL00974,142,142
FL00975,137,137
FL00976,157,157
FL00977,218,218
FL00978,134,134
FL00979,183,183
FL00980,208,208
FL00981,147,147
FL00982,193,193
FL00983,158,158
FL00984,176,176
FL00985,136,136
FL00986,205,205
FL00987,209,209
FL00988,163,163
FL00989,144,144
FL00990,136,136
FL00991,132,132
FL00992,203,203
FL00993,144,144
FL00994,187,187
FL00995,129,129
FL00996,186,186
FL00997,137,137
FL00998,219,219
FL00999,205,205
FL01000,153,153
FL01001,127,127
FL01002,159,159
FL01003,202,202
FL01004,161,161
FL01005,160,160
FL01006,125,125
FL01007,171,171
FL01008,145,145
FL01009,183,183
FL01010,217,217
FL01011,178,178
FL01012,175,175
FL01013,178,178
FL01014,189,189
FL01015,152,152
FL01016,172,172
FL01017,141,141
FL01018,140,140
FL01019,189,189
FL01020,189,189
FL01021,123,123
FL01022,213,213
FL01023,194,194
FL01024,181,181
FL01025,181,181
FL01026,213,213
FL01027,214,214
FL01028,143,143
FL01029,174,174
FL01030,128,128
FL01031,122,122
FL01032,150,150
FL01033,159,159
FL01034,155,155
FL01035,143,143
FL01036,214,214
FL01037,125,125
FL01038,185,185
FL01039,203,203
FL01040,211,211
FL01041,194,194
FL01042,123,123
FL01043,198,198
FL01044,125,125
FL01045,213,213
FL01046,170,170
FL01047,181,181
FL01048,176,176
FL01049,185,185
FL01050,198,198
FL01051,194,194
FL01052,127,127
FL01053,145,145
FL01054,170,170
FL01055,164,164
FL01056,163,163
FL01057,124,124
FL01058,189,189
FL01059,145,145
FL01060,187,187
FL01061,138,138
FL01062,203,203
FL01063,216,216
FL01064,139,139
FL01065,131,131
FL01066,166,166
FL01067,120,120
FL01068,209,209
FL01069,133,133
FL01070,183,183
FL01071,157,157
FL01072,156,156
FL01073,130,130
FL01074,219,219
FL01075,196,196
FL01076,122,122
FL01077,152,152
FL01078,125,125
FL01079,169,169
FL01080,129,129
FL01081,124,124
FL01082,142,142
FL01083,129,129
FL01084,163,163
FL01085,121,121
FL01086,132,132
FL01087,159,159
FL01088,121,121
FL01089,203,203
FL01090,184,184
FL01091,182,182
FL01092,192,192
FL01093,136,136
FL01094,128,128
FL01095,194,194
FL01096,134,134
FL01097,143,143
FL01098,157,157
FL01099,154,154
FL01100,213,213
FL01101,214,214
FL01102,168,168
FL01103,188,188
FL01104,181,181
FL01105,179,179
FL01106,169,169
FL01107,197,197
FL01108,194,194
FL01109,128,128
FL01110,153,153
FL01111,195,195
FL01112,218,218
FL01113,154,154
FL01114,120,120
FL01115,159,159
FL01116,183,183
FL01117,141,141
FL01118,179,179
FL01119,183,183
FL01120,212,212
FL01121,191,191
FL01122,130,130
FL01123,133,133
FL01124,179,179
FL01125,149,149
FL01126,154,154
FL01127,204,204
FL01128,156,156
FL01129,124,124
FL01130,202,202
FL01131,197,197
FL01132,145,145
FL01133,181,181
FL01134,123,123
FL01135,208,208
FL01136,161,161
FL01137,208,208
FL01138,137,137
FL01139,159,159
FL01140,191,191
FL01141,158,158
FL01142,133,133
FL01143,151,151
FL01144,170,170
FL01145,157,157
FL01146,216,216
FL01147,142,142
FL01148,182,182
FL01149,134,134
FL01150,216,216
FL01151,144,144
FL01152,136,136
FL01153,216,216
FL01154,185,185
FL01155,197,197
FL01156,172,172
FL01157,170,170
FL01158,158,158
FL01159,170,170
FL01160,189,189
FL01161,125,125
FL01162,186,186
FL01163,126,126
FL01164,170,170
FL01165,191,191
FL01166,161,161
FL01167,183,183
FL01168,134,134
FL01169,148,148
FL01170,152,152
FL01171,213,213
FL01172,146,146
FL01173,155,155
FL01174,148,148
FL01175,157,157
FL01176,176,176
FL01177,216,216
FL01178,146,146
FL01179,174,174
FL01180,152,152
FL01181,187,187
FL01182,205,205
FL01183,185,185
FL01184,129,129
FL01185,124,124
FL01186,193,193
FL01187,216,216
FL01188,157,157
FL01189,132,132
FL01190,150,150
FL01191,166,166
FL01192,219,219
FL01193,207,207
FL01194,171,171
FL01195,175,175
FL01196,134,134
FL01197,148,148
FL01198,127,127
FL01199,124,124
FL01200,148,148
FL01201,166,166
FL01202,187,187
FL01203,195,195
FL01204,164,164
FL01205,121,121
FL01206,146,146
FL01207,214,214
FL01208,155,155
FL01209,155,155
FL01210,145,145
FL01211,162,162
FL01212,146,146
FL01213,188,188
FL01214,139,139
FL01215,130,130
FL01216,193,193
FL01217,157,157
FL01218,125,125
FL01219,191,191
FL01220,142,142
FL01221,166,166
FL01222,209,209
FL01223,165,165
FL01224,131,131
FL01225,209,209
FL01226,132,132
FL01227,181,181
FL01228,201,201
FL01229,208,208
FL01230,216,216
FL01231,179,179
FL01232,162,162
FL01233,195,195
FL01234,219,219
FL01235,187,187
FL01236,124,124
FL01237,156,156
FL01238,191,191
FL01239,211,211
FL01240,150,150
FL01241,128,128
FL01242,170,170
FL01243,148,148
FL01244,197,197
FL01245,159,159
FL01246,160,160
FL01247,205,205
FL01248,130,130
FL01249,142,142
FL01250,120,120
FL01251,165,165
FL01252,140,140
FL01253,209,209
FL01254,155,155
FL01255,173,173
FL01256,206,206
FL01257,176,176
FL01258,120,120
FL01259,182,182
FL01260,173,173
FL01261,174,174
FL01262,159,159
FL01263,134,134
FL01264,140,140
FL01265,166,166
FL01266,192,192
FL01267,172,172
FL01268,128,128
FL01269,193,193
FL01270,171,171
FL01271,176,176
FL01272,145,145
FL01273,160,160
FL01274,154,154
FL01275,182,182
FL01276,144,144
FL01277,209,209
FL01278,194,194
FL01279,157,157
FL01280,121,121
FL01281,126,126
FL01282,201,201
FL01283,210,210
FL01284,153,153
FL01285,210,210
FL01286,136,136
FL01287,162,162
FL01288,178,178
FL01289,170,170
FL01290,173,173
FL01291,143,143
FL01292,144,144
FL01293,190,190
FL01294,171,171
FL01295,189,189
FL01296,207,207
FL01297,152,152
FL01298,168,168
FL01299,148,148
FL01300,182,182
FL01301,141,141
FL01302,145,145
FL01303,147,147
FL01304,204,204
FL01305,168,168
FL01306,190,190
FL01307,200,200
FL01308,203,203
FL01309,168,168
FL01310,139,139
FL01311,205,205
FL01312,211,211
FL01313,182,182
FL01314,180,180
FL01315,168,168
FL01316,190,190
FL01317,120,120
FL01318,215,215
FL01319,132,132
FL01320,213,213
FL01321,206,206
FL01322,170,170
FL01323,175,175
FL01324,202,202
FL01325,181,181
FL01326,151,151
FL01327,149,149
FL01328,148,148
FL01329,168,168
FL01330,164,164
FL01331,212,212
FL01332,149,149
FL01333,135,135
FL01334,159,159
FL01335,138,138
FL01336,137,137
FL01337,120,120
FL01338,197,197
FL01339,166,166
FL01340,185,185
FL01341,211,211
FL01342,213,213
FL01343,157,157
FL01344,170,170
FL01345,182,182
FL01346,123,123
FL01347,120,120
FL01348,127,127
FL01349,148,148
FL01350,174,174
FL01351,122,122
FL01352,151,151
FL01353,129,129
FL01354,193,193
FL01355,202,202
FL01356,153,153
FL01357,216,216
FL01358,206,206
FL01359,174,174
FL01360,211,211
FL01361,151,151
FL01362,169,169
FL01363,126,126
FL01364,212,212
FL01365,127,127
FL01366,184,184
FL01367,176,176
FL01368,186,186
FL01369,207,207
FL01370,206,206
FL01371,178,178
FL01372,191,191
FL01373,173,173
FL01374,186,186
FL01375,170,170
FL01376,216,216
FL01377,211,211
FL01378,127,127
FL01379,153,153
FL01380,154,154
FL01381,215,215
FL01382,207,207
FL01383,197,197
FL01384,151,151
FL01385,165,165
FL01386,135,135
FL01387,187,187
FL01388,156,156
FL01389,173,173
FL01390,204,204
FL01391,133,133
FL01392,214,214
FL01393,174,174
FL01394,167,167
FL01395,201,201
FL01396,126,126
FL01397,193,193
FL01398,126,126
FL01399,152,152
FL01400,142,142
FL01401,204,204
FL01402,138,138
FL01403,138,138
FL01404,155,155
FL01405,148,148
FL01406,179,179
FL01407,201,201
FL01408,121,121
FL01409,120,120
FL01410,166,166
FL01411,188,188
FL01412,139,139
FL01413,130,130
FL01414,121,121
FL01415,186,186
FL01416,206,206
FL01417,131,131
FL01418,139,139
FL01419,124,124
FL01420,156,156
FL01421,157,157
FL01422,213,213
FL01423,128,128
FL01424,217,217
FL01425,172,172
FL01426,163,163
FL01427,218,218
FL01428,205,205
FL01429,143,143
FL01430,200,200
FL01431,193,193
FL01432,149,149
FL01433,178,178
FL01434,206,206
FL01435,215,215
FL01436,200,200
FL01437,200,200
FL01438,133,133
FL01439,128,128
FL01440,159,159
FL01441,185,185
FL01442,144,144
FL01443,192,192
FL01444,141,141
FL01445,123,123
FL01446,145,145
FL01447,177,177
FL01448,148,148
FL01449,217,217
FL01450,206,206
FL01451,156,156
FL01452,194,194
FL01453,189,189
FL01454,137,137
FL01455,204,204
FL01456,161,161
FL01457,219,219
FL01458,160,160
FL01459,157,157
FL01460,153,153
FL01461,136,136
FL01462,156,156
FL01463,144,144
FL01464,195,195
FL01465,206,206
FL01466,205,205
FL01467,204,204
FL01468,146,146
FL01469,176,176
FL01470,150,150
FL01471,125,125
FL01472,210,210
FL01473,159,159
FL01474,217,217
FL01475,131,131
FL01476,172,172
FL01477,190,190
FL01478,129,129
FL01479,164,164
FL01480,136,136
FL01481,145,145
FL01482,204,204
FL01483,211,211
FL01484,181,181
FL01485,165,165
FL01486,183,183
FL01487,121,121
FL01488,173,173
FL01489,184,184
FL01490,170,170
FL01491,172,172
FL01492,155,155
FL01493,145,145
FL01494,148,148
FL01495,140,140
FL01496,130,130
FL01497,159,159
FL01498,130,130
FL01499,155,155
FL01500,178,178
FL01501,158,158
FL01502,218,218
FL01503,173,173
FL01504,217,217
FL01505,174,174
FL01506,143,143
FL01507,141,141
FL01508,188,188
FL01509,175,175
FL01510,152,152
FL01511,155,155
FL01512,139,139
FL01513,202,202
FL01514,218,218
FL01515,200,200
FL01516,181,181
FL01517,217,217
FL01518,192,192
FL01519,145,145
FL01520,185,185
FL01521,192,192
FL01522,192,192
FL01523,159,159
FL01524,136,136
FL01525,120,120
FL01526,208,208
FL01527,180,180
FL01528,162,162
FL01529,161,161
FL01530,144,144
FL01531,158,158
FL01532,154,154
FL01533,122,122
FL01534,163,163
FL01535,170,170
FL01536,213,213
FL01537,217,217
FL01538,131,131
FL01539,138,138
FL01540,163,163
FL01541,178,178
FL01542,168,168
FL01543,180,180
FL01544,136,136
FL01545,193,193
FL01546,176,176
FL01547,174,174
FL01548,166,166
FL01549,131,131
FL01550,181,181
FL01551,199,199
